"Bradao_OsPobres" "Braga_Viriato" "Campos_FilhaCabinda" "CasteloBranco_AmorPerdicao" "CasteloBranco_BrilhantesBrasileiro" "CasteloBranco_CaveiraMartir" "Dinis_FamiliaIngleza" "Dinis_Pupilas" "Herculano_EuricoPresbitero" "Macedo_ChristaoNovo" "Pimentel_Annel" "Queiros_CasaRamirez" "Queiros_CidadesSerranas" "Queiros_Maias"
"lhe" 0.459866220735786 0.376026272577997 0.928475605450823 0.957984928254362 0.807857128211437 0.888139599555061 0.794799181429192 0.957424496644295 0.411146642302421 0.66296067531398 0.611577551922227 0.290198067224523 0.215119852489244 0.707533308317246
"é" 1.15089514066496 0.487684729064039 0.543670126385653 0.704036337359348 0.740193967726723 0.46579532814238 0.797899828430866 1.00880872483221 0.338053905893102 0.424130121474161 0.645161290322581 0.333399073995811 0.439020107120906 0.588631544683102
"no" 0.624631123352351 0.532019704433498 0.607215985313846 0.497574068339011 0.430583748539091 0.611790878754171 0.498170618269012 0.375419463087248 0.694380995888534 0.457072266831377 0.581528943879806 0.648954253890438 0.661456961395499 0.712958483844279
"ao" 0.491835530198702 0.561576354679803 0.62839793828991 0.745328791163415 0.405978962908286 0.653503893214683 0.529177088285756 0.506501677852349 0.736409319323892 0.428247889643813 0.58859920459567 0.541890889283333 0.439020107120906 0.673173863312703
"na" 0.666437143419241 0.617405582922824 0.33538092212102 0.507897181790028 0.408029361710853 0.610052836484983 0.384480228207619 0.415268456375839 0.478757423481042 0.399423512456249 0.441891294741494 0.792644559021028 0.676090964966195 0.591796230407205
"por" 0.42789691127287 0.623973727422003 0.38480547906517 0.452152369154537 0.444936540157061 0.396273637374861 0.698679124377287 0.810612416107383 0.621288259479214 0.741198270537369 0.58859920459567 0.632988664431484 0.0409752099979512 0.481936425984782
"como" 0.649222899862286 0.579638752052545 0.635458589281932 0.439764633013317 0.33216460601587 0.373679087875417 0.511606755276268 0.541107382550336 0.5207857469164 0.48177887584929 0.489615554573575 0.568187154274552 0.573652939971317 0.50770600973819
"d" 0.00983671060397403 0.00164203612479475 1.23208359810775 0.138329720243625 0.309610219187632 0.295467185761958 0.676974595365566 0.00629194630872483 0.00365463682046597 0.135886349598518 0.790101634997791 0.35969533898703 0.137559633564551 1.07780153803726
"dos" 0.248376942750344 0.822660098522167 0.52954882440161 0.262207081655827 0.387525373685182 0.464057285873192 0.392748620212084 0.276845637583893 1.23161260849703 0.765904879555281 0.477242598320813 0.476150226805286 0.433166505692627 0.283013323326898
"me" 0.806610269525871 0.13136288998358 0.568382404857728 0.780427376896872 0.818109122224273 0.377155172413793 0.600491969324266 0.722525167785235 0.321608040201005 0.452954498661725 0.567388422448078 0.196282835113027 0.362923288553282 0.243680800755908
"mais" 0.590202636238442 0.366174055829228 0.427169385017299 0.350985857334572 0.403928564105719 0.342394327030033 0.618062302333754 0.599832214765101 0.394700776610324 0.671196211653284 0.39946973044631 0.394443974868284 0.390727895337606 0.360322074587122
"mas" 0.361499114696046 0.292282430213465 0.497775894937513 0.468669350676164 0.399827766500584 0.314585650723026 0.488868677263989 0.613464765100671 0.319780721790772 0.54354539839407 0.291648254529386 0.517472928934344 0.390727895337606 0.434014042162656
"eu" 0.61725359039937 0.139573070607553 0.261244086704794 0.84030143491277 0.75659715814726 0.281562847608454 0.442358972238874 0.654362416107383 0.179077204202832 0.238830553839819 0.519664162615996 0.258266888306614 0.526824128545087 0.264929404903454
"era" 0.272968719260279 0.35632183908046 0.52954882440161 0.276659440487251 0.379323778474913 0.420606229143493 0.461996403249478 0.367030201342282 0.402010050251256 0.214123944821907 0.466637207247017 0.222579100104246 0.285363069628589 0.438535021768517
"das" 0.226244343891403 0.517241379310345 0.391866130057191 0.256013213585217 0.237846261097784 0.404963848720801 0.283192426152924 0.404781879194631 0.74737322978529 0.531192093885114 0.39946973044631 0.319311789179087 0.342435683554307 0.21565072719957
"sua" 0.177060790871533 0.323481116584565 0.600155334321824 0.516155672550841 0.588464456336757 0.384107341490545 0.193273663104368 0.23385067114094 0.259479214253084 0.267654931027383 0.360583296509059 0.346547206491421 0.368776889981561 0.349019625572469
